id,grant_title,group,count,mean,std,min,q1,total_amount,q3,max,box,min_nc,q1_nc,total_amount_nc,q3_nc,max_nc
1,Acoustics,science,134023,0.910174595,1.232037595,0.5,0.52,0.628,0.896,96.887,0.3759,0,1,6,17,2419
2,Agricultural Economics & Policy,law and policy,22584,0.73501153,0.575921128,0.5,0.5,0.55,0.732,22.657,0.231525,0,0,2,11,665
3,Agricultural Engineering,geography,52246,0.912369282,1.0301351,0.5,0.536,0.674,0.944,78.466,0.407975,0,2,12,32,4464
4,"Agriculture, Dairy & Animal Science",geography,137897,0.769422421,0.942721891,0.5,0.529,0.61,0.795,286.335,0.2664,0,2,8,20,14531
5,"Agriculture, Multidisciplinary",geography,114342,0.822615329,0.751563697,0.5,0.533,0.629,0.847,42.727,0.3134,0,2,8,23,3052
6,Agronomy,geography,182190,0.787078318,0.600898076,0.5,0.528,0.618,0.818,37.91,0.2905,0,2,8,21,1947
7,Allergy,medicine,62426,0.861023064,0.741684874,0.5,0.545,0.654,0.896,38.374,0.3514,0,3,12,29,2504
8,Anatomy & Morphology,medicine,41978,0.760652151,0.609736889,0.5,0.547,0.626,0.792,74.359,0.244675,0,4,11,23,7123
9,Andrology,medicine,10297,0.715271001,0.370406932,0.5,0.537,0.604,0.75,9.146,0.2133,0,4,10,23,642
10,Anesthesiology,medicine,147739,0.816542193,0.805066728,0.5,0.5,0.586,0.821,41.748,0.3214,0,0,5,18,2625
11,Anthropology,social science,114950,0.720137165,0.842888535,0.5,0.5,0.51,0.692,81.067,0.1918,0,0,1,9,4062
12,Archaeology,arts,60952,0.673887702,0.434703863,0.5,0.5,0.509,0.683,33.243,0.1833,0,0,1,7,1290
13,Architecture,building,48514,0.537767465,0.201175318,0.5,0.5,0.5,0.5,18.376,0,0,0,0,0,346
14,Area Studies,social science,108122,0.598262498,0.36571829,0.5,0.5,0.5,0.535,31.7,0.0349,0,0,0,1,497
15,Art,arts,154459,0.53505438,0.17343941,0.5,0.5,0.5,0.5,11.763,0,0,0,0,0,336
16,Asian Studies,arts,61740,0.555564545,0.208209765,0.5,0.5,0.5,0.5,9.511,0,0,0,0,0,178
17,Astronomy & Astrophysics,science,479488,0.891032524,1.200392208,0.5,0.53,0.635,0.885,158.861,0.3556,0,3,12,32,11622
18,Audiology & Speech-Language Pathology,medicine,48032,0.935794025,1.030503411,0.5,0.565,0.688,0.96,91.8,0.395525,0,5,13,28,1598
19,Automation & Control Systems,engineering,380508,0.825509514,1.925458623,0.5,0.5,0.532,0.704,472.774,0.2036,0,0,1,7,13912
20,Behavioral Sciences,social science,127620,0.859612532,0.888912256,0.5,0.556,0.653,0.874,111.153,0.318,0,7,18,38,3852
21,Biochemical Research Methods,biology,287435,0.926802027,2.923363731,0.5,0.559,0.659,0.886,735.085,0.3269,0,6,14,32,36177
22,Biochemistry & Molecular Biology,biology,1320581,1.018015854,2.499874345,0.5,0.568,0.691,0.983,1097.446,0.4143,0,8,20,47,58002
23,Biodiversity Conservation,biology,70541,0.876929149,0.845710311,0.5,0.556,0.661,0.898,46.833,0.3419,0,5,14,34,5464
24,Biology,biology,206545,0.88723566,1.334261849,0.5,0.532,0.626,0.866,264.353,0.3336,0,3,11,32,9095
25,Biophysics,biology,317675,0.890425457,1.42560764,0.5,0.552,0.655,0.891,286.165,0.3389,0,6,16,36,19938
26,Biotechnology & Applied Microbiology,biology,467734,0.911653968,1.65376866,0.5,0.551,0.654,0.891,285.349,0.3402,0,5,15,34,27665
27,Business,management,162675,0.865932688,1.83195643,0.5,0.5,0.528,0.735,237.225,0.2347,0,0,2,17,13700
28,"Business, Finance",management,86671,0.871080957,1.567053,0.5,0.5,0.553,0.761,134.68,0.2607,0,0,3,15,6020
29,Cardiac & Cardiovascular Systems,medicine,447357,0.956903105,1.338515277,0.5,0.534,0.644,0.921,149.857,0.3874,0,2,10,28,9726
30,Cell & Tissue Engineering,biology,27833,0.801627949,0.834488429,0.5,0.54,0.625,0.806,66.805,0.266,0,6,17,39,8378
31,Cell Biology,biology,584481,1.109572255,1.876917507,0.5,0.571,0.701,1.036,271.103,0.4649,0,8,23,58,27946
32,"Chemistry, Analytical",science,432298,0.880547588,0.947112331,0.5,0.562,0.673,0.91,124.377,0.3484,0,5,13,29,9793
33,"Chemistry, Applied",science,234031,0.851657143,0.786439707,0.5,0.552,0.658,0.883,93.353,0.3311,0,4,13,30,4548
34,"Chemistry, Inorganic & Nuclear",science,288638,0.776139398,0.641994723,0.5,0.547,0.629,0.806,109.183,0.2588,0,4,11,25,3918
